"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23278.8227270299","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","953.077384189922","976.108071872939","1005.16542257743","1048.20880562091","1109.33788889481","1106.66274047257","1048.66705890174","1084.64599789265","1105.16335935106","1133.38005665834","1162.82841181266","1182.60430614439","1202.90521119241","1222.00757893164","1230.24639211737","1220.61316431887","1260.75170967888","1265.8382671376","1229.51565090925","1245.26718762216","","","","",
"Afghanistan","AFG","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","548.968454484921","","","","","","","","","","",
"Africa Western and Central","AFW","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1553.65415750155","","","","","","","","","","",
"Angola","AGO","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1705.07037410784","1785.09440373357","1840.88864065263","1934.49778976457","2164.21127940465","1910.62885347705","1561.63194595584","1902.86778251336","1997.18909905841","2325.3054106574","2494.18201884307","2749.16847655875","2731.40095707817","2371.99561912402","2085.7109332893","1987.61676293492","2114.18660379573","1934.81463336293","2129.25864974087","2120.0162432787","","","","",
"Albania","ALB","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1119.61166028258","1523.40301104531","1266.22065087815","1366.09883794417","1581.1200318432","1763.25604000266","1957.62791771437","2024.51127289589","2144.50314864495","2282.45204842673","2385.03452806709","2566.03209501333","2681.52176064847","2887.28940626834","2938.90703183899","3033.90406067055","3048.52216564561","3109.6425687027","3264.05665915445","3358.56174307227","3457.09318853429","3699.44928588596","3791.20607329074","4002.68042212147","4099.1040697948","4030.14225374606","4554.10349054634","","","","",
"Andorra","AND","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3739.51412484012","3776.05412010595","3856.07686208661","4094.96769234232","4398.09784266416","4804.58525796557","5038.5702767074","5479.37091145144","4897.10682491157","5231.05808301648","5599.19569862057","5907.12559103292","5865.40855476811","5733.3014499704","5219.88246019688","5140.29577849821","5218.78072142183","5399.88258126969","5364.56832526644","4787.77258355974","","","","","",
"United Arab Emirates","ARE","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52409.9115277704","48831.5801969577","48728.7102591755","50529.2575673154","51330.0225801286","55744.2915265277","53283.2948190814","50716.9435372495","39769.6707663902","38937.9255766559","43903.0021558364","45029.0887477661","45497.8165027379","45214.4905064498","39877.4180425213","39087.6359748283","39794.6354365341","40415.4814202517","40195.301916712","34039.5444227548","","","","","",
"Argentina","ARG","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","7794.72245450293","8456.08349564816","8258.31179796595","8601.28108331001","8742.36494572655","8602.79259133479","8285.30496421894","8612.97573452422","5233.5001574978","8431.90127814688","8623.6046488192","7924.43625373916","7239.31210827253","7479.29136535287","5082.37950661883","6917.61852933848","7749.80584056792","7531.97820203384","7176.36402618349","6176.09980113816","6105.64783880791","6949.72262557596","7829.75135385913","8134.63846342563","8416.53117020588","7919.21367603245","8353.50085085665","8863.12150548933","9029.81250361552","8422.2213135345","8248.25977454648","7773.26207195462","6841.46936703873","7559.39523974588","7419.36840868356","7881.40603484504","9419.0370912084","10450.2285348549","10930.352358823","10003.5142611669","11044.5306683154","11891.303706736","11607.3664239998","11739.4896190141","11201.4122419505","11668.4363712122","11333.1950091813","11879.0693559856","11121.1269414726","10479.7912467694","9611.85620718382","10783.6247597978","","","","",
