"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.8984771573604","86.6396761133603","82.5309992706054","79.6377054679638","79.928664072633","74.3860109498193","70.9967837702649","64.5643135803172","62.7312132409209","64.6655585140977","68.0752981880873","64.5941526531523","65.0612625386555","65.5292950658025","62.9185634689552","60.2181860904717","69.7510127562388","73.1035458041627","73.5764358929723","75.4546231589626","70.3217227986333","68.9666600570598","69.6369362107407","68.4088639609739","66.7217875421583","53.5769436483474","67.5199048286586","80.8068810212559","82.4000749026328","83.9924869695432","",
"Africa Eastern and Southern","AFE","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","27.9057448026544","22.7502799540583","20.475854053788","20.0857267967379","20.7269345277637","22.0049477530257","23.3269748492663","24.6060018472446","23.6906998733686","22.0271851374011","20.3043032571772","18.440862212004","21.4617727496176","22.645249753491","23.6347618687833","24.2993444729098","25.4028012563172","24.4848167079977","24.8113543925767","24.7360087716723","25.5466505570119","27.207250045934","27.5365444785519","25.3461880263816","25.5106697968165","27.4217430797389","29.2307970845295","31.5709137021676","34.9202310108669","26.9119931531484","29.0113731471337","30.9746253824193","29.466768547602","28.8051646840214","27.7325084983663","23.8977546583447","23.6972969229705","23.8157977944419","25.350131085382","24.1083995883246","22.3221059306736","25.8519122614352","27.1353420040016","26.153712324891","25.7364687437057","",
"Afghanistan","AFG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4208171386207","14.342152797537","18.3800424016375","16.8527881206002","","",
"Africa Western and Central","AFW","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.4975384807229","47.564460965317","51.0441768869336","58.7232661870034","56.8533385666593","61.2105085588617","65.0305321876619","50.8993863954011","53.8925161319852","54.1205324819562","50.0270607128454","45.2323209197428","37.0143267493642","26.1489317124585","24.6591652555406","25.4572351848497","36.2458951290851","37.1603311244083","31.5758280076577","39.4494840713604","35.1960530217063","32.3263024339928","31.4835234652022","",
"Albania","ALB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","23.9574919106695","23.8105066597225","20.0729179060642","18.8520751406844","18.0403314265347","16.8203725696072","15.6061801305352","16.0299218388153","16.9793941336596","18.5933534612466","15.4050638293415","7.48481872467814","12.4995914932505","15.9788298133865","11.983694347693","12.2696512257008","11.4951450178899","10.0408492363618","11.2273038242118","16.4734334387411","19.5304708980011","20.6135666190169","20.1711859333135","20.1638803786461","21.5517522222215","22.4427818397267","24.5085919324007","27.1308199124046","24.5826619203536","24.644624460972","27.6099296701047","29.0544738022633","29.1107709360814","28.8694020076469","28.0683434875498","27.0693224620319","28.6697931741608","31.0017957888583","31.1140135421951","30.9361224858484","22.5407585558933","31.1330562572669","37.1970755614977","38.4188212901288","36.2848685351465","",
"Andorra","AND","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.9612113400628","39.254259436213","42.5484595377338","47.4580144496679","52.1083534187019","53.6926034914559","53.6715474966857","56.648819776165","46.1573946646781","48.5553888749024","52.748755723153","54.1636197409334","52.2750981557518","48.4755795495872","40.315268921453","37.5969222512896","41.7849949204469","44.4087252996849","42.1571893930522","35.7753842954148","41.5027394594637","47.8423061891752","46.7979959096851","","",
"United Arab Emirates","ARE","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.1592253276122","49.5033473840813","55.9231992151745","63.5677298138648","67.5853113898841","68.6277976715135","72.3840975003088","78.86788870154","79.6533178621862","77.4455343570214","85.628648366152","95.6008662534124","95.7551835445394","94.773856080155","93.8625430925095","94.4747534696859","94.7373963619868","90.8429581255868","93.3023091201398","98.0724675358339","100.642574267637","102.051988974133","106.846139017261","","",
"Argentina","ARG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","7.60404910825644","5.9949469947787","4.69184275899831","7.89045420262462","5.56371560478508","6.22587443766796","6.65291738359955","7.4955962262493","6.48445346277515","6.3987133165299","5.601566676004","6.00723288128889","7.19776583908352","7.61266772119213","6.9025707976099","5.82405179865594","9.17538829640174","9.61589241271337","8.60838993811478","6.5109154667574","5.06197268111518","6.92104948030999","9.09049307859513","9.15152068682072","7.5898953117888","11.7360980207352","8.16197754429543","7.87320581340031","9.53161297293404","13.0584089085641","10.3595365925264","7.67504334832217","6.5981874720374","6.90935153370832","7.52994872591672","9.68041025959015","10.4285967560139","10.5608501019262","10.4155819610919","9.82717451494235","10.9863752325576","11.5790080825317","28.3825969991682","25.9309429264224","23.8476194239892","23.2458767338576","23.0266946038115","22.6627503115066","22.0609003826242","19.5609850560818","18.9338234053709","18.4492091453155","16.2378594620246","14.6171733884386","14.4054785893756","10.7056520504538","12.5270951690009","11.3202833596733","14.4366857499034","17.9248783778462","16.6054144372484","18.0667091690365","16.2816677253254","12.8223120961047","15.2497485928824","",
