"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.1336717428088","28.4615384615385","30.2334062727936","31.7007715531701","30.8690012970169","25.4941135775374","23.9991775312859","26.629979781872","28.8817040907799","28.4513918843887","33.160442199198","34.5191296544988","31.746651038248","32.1030557196345","29.6421797785745","28.2831797071863","27.4166371579459","23.5225068320821","23.825859897396","23.1114410000278","21.538867068293","20.5749571545811","20.5511714864529","22.4017184437014","22.6154511785237","23.9492805852762","20.2449106732973","19.8080671623567","22.335385480803","25.1538409611884","",
"Africa Eastern and Southern","AFE","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.5667435850594","19.6742320871656","19.0404994645871","17.8233875080302","19.2559161234017","18.8478015425903","18.9834572520083","18.2349584218774","17.647979436778","18.3103492486494","19.7485737033903","19.4453679886469","20.3858372455771","21.4848491085396","23.870753415099","23.6154890041129","21.5855677899219","22.5842692038802","23.2846027406485","23.7485256245812","24.3021098070702","23.4757442708219","22.044763764198","22.0297596320011","21.8468381138064","22.0030443460918","19.6988732723162","19.656775067568","20.4555471479547","19.6138401928151","18.4479364351501","",
"Afghanistan","AFG","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5","13","16.7","15.2924823859473","","",
"Africa Western and Central","AFW","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","","29.7741669107851","29.8069552741519","32.7033343298252","28.0139948974484","24.1285215642067","26.8723206787845","31.0476642804707","42.1126629946906","29.7638327935383","27.3662454536118","27.9685614009235","26.9937630528609","28.8734781928265","29.1086095935763","30.134293482854","29.1829432051553","24.2002490160737","24.6757736004733","19.6439562319095","15.9851660648707","14.1769859541901","12.3076318613212","10.4110011927256","",
"Albania","ALB","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","35.805834723522","36.3861156517659","39.2829001338862","37.373346292896","32.9255350791543","33.9319591391124","32.0348354243886","29.4538695223043","29.957542067619","32.8770715994479","30.360946807547","7.60311109567282","5.65668410228241","13.6761374504386","18.8965848987739","16.4271239839877","21.1475152669262","19.7587807672594","22.7895725962923","24.2715109633495","34.0401392244169","38.2280453184166","38.5753358181086","36.7221284326025","36.3319472329288","38.3843892451909","37.3389564722485","35.6688758642439","33.3056707670518","32.4404588015772","32.4926226328977","33.8376091539876","29.7150278852687","29.0566378899977","28.3047822758213","27.8134648405134","26.814346013014","27.657593194662","27.1252994132038","25.2875256073276","26.2183472454095","28.6722669213413","26.8023654741294","23.4392861436214","24.9514965978049","",
"Andorra","AND","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","17.7937344414951","17.7341628561541","19.476254563394","18.6056207263517","18.1353240680856","10.8969251133068","25.1188018551586","23.3313821954639","27.198433871866","28.1244453492969","30.9643246388764","26.5050826969581","24.9587730327621","27.2152725801692","30.3401608315061","28.5640501511829","28.0734784632429","24.5709641947081","24.3821030460601","21.6300152654571","22.6080253068675","17.8897456833376","30.1814997503642","21.3054186789294","22.3210495447703","22.7108323322241","21.045866018964","21.7216684679016","20.7818589120047","18.58891247035","22.1245024125509","21.7744485405531","19.8200202599509","21.4434561128699","20.9566528388048","21.1951808258635","21.4646866049704","21.3844839664435","22.5763756417823","25.3917495299491","26.3703354728968","28.2378996817184","26.835298569653","24.2511733250075","23.6632157180556","24.4728483701068","25.3864708312404","27.1020992913825","26.6537123894546","25.963007389019","24.9831193025342","25.9850644941023","24.2500330678182","24.8399026020341","24.8741040525192","26.1509389803015","26.811978102776","",
"United Arab Emirates","ARE","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5025971503274","22.5456815521944","22.1297618369823","19.9785190602061","20.1668488058722","19.2703996822451","25.1991828204692","25.0980915438506","31.6335487625593","28.9193053739198","24.7738271342481","23.421423689147","21.1407254569336","22.1222022367368","21.643204001152","20.9292537892622","20.6035948096274","21.1611309818493","23.185328258013","22.8266562576","25.3830049451598","26.058486930344","26.6386707861598","","",
"Argentina","ARG","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","23.4792342590099","27.7664470644615","21.7309350217721","18.2728788276194","21.4739126232485","22.4276757468008","20.5425466290179","21.2150357873283","21.6904972921362","23.9906052021963","24.4400952475051","24.1130324177909","23.8915446190398","20.8938115320811","22.2603317856376","29.4410469590453","30.7294395896829","30.9416888038212","27.8001595713111","25.8567694620944","25.257786289888","22.6910887215618","21.7549479464592","20.8877523061467","19.9640924492995","17.5890669180019","17.4617642050861","19.5548660012086","18.6400388971926","15.5146982752804","13.9969815756662","14.6369773950796","16.7024057741857","19.6881104233422","19.9656232520199","18.5004105114971","19.6238724452255","20.8260515469902","20.9707691548621","17.8629278753399","17.5334874363903","15.6259653308051","10.8539052402585","14.1469621012504","17.5512703642799","18.8882641376513","18.6804872364334","20.099113202908","19.5727758777106","16.0531123592112","17.7055338062046","18.39845891735","16.5019865298875","17.3057789012596","17.2628810064651","17.0707048841583","17.6632278606203","18.2125671747754","16.6138850156371","14.2100303992191","14.4151557410245","18.0762892471421","17.3855861358427","19.3822632919135","15.8378002382311","",
