"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.7191757447378","65.7403916935084","65.7410077555261","65.9270106311234","66.2484574350133","66.3425347618483","66.3366041990267","66.2587100758762","66.1683801470334","66.1733493132427","66.2144839011063","66.2445563483266","66.2852934931772","66.4006317535306","66.5199357411619","66.4239308926331","66.2708985766775","66.0850982066891","65.6595089335905","65.0670511867545","65.2840138438287","64.7046856949485","65.5166812437368","64.7382983139433","64.3350935557558","63.7675800088298","63.0617502228725","62.6308174764157","62.0925833229436","60.6938479122722","60.481731517893","61.1723700438224","63.5966350939045","63.6615130879332","63.6773009501006",
"Afghanistan","AFG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.382","43.34","43.305","43.249","43.188","43.116","43.058","42.995","42.938","42.885","42.817","42.846","42.85","42.881","42.866","42.893","42.966","43.004","43.097","43.159","43.213","43.258","43.301","43.368","42.906","42.457","42.014","40.466","38.913","36.71","35.8","32.333","32.323","32.408","32.457",
"Africa Western and Central","AFW","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.6906555011268","72.8766840153581","72.9497538150941","73.1446726923644","73.163170814585","73.0845945405867","73.0362925479711","72.9416735148703","72.7508157850782","72.5908702185287","72.5289133064094","72.5362060360374","72.4431044330816","72.3736543025899","72.1889445153977","72.1342054938798","72.0023306266826","71.7364276577927","71.4907994627391","71.2238418473139","71.0432819852681","70.8186783477025","70.7098818771657","70.2302389177943","69.8046386300858","69.7509792444173","69.2710055072865","69.035078633548","68.8150297250344","67.3348584030955","67.9292676647795","69.3575725419805","70.1232828458828","70.0709796291532","69.9676848153351",
"Angola","AGO","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.307","64.226","63.88","63.899","64.271","64.892","64.973","64.787","64.579","64.484","64.451","64.617","64.59","64.677","64.679","64.804","64.842","64.775","64.6","64.438","64.35","64.296","64.119","63.952","63.638","63.321","63.045","62.812","62.644","61.078","64.306","64.619","64.369","64.383","64.236",
"Albania","ALB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.273","48.547","50.736","52.725","55.276","54.626","53.996","50.942","49.13","49.528","48.965","48.945","48.611","48.121","47.419","46.704","45.61","46.245","47.473","47.426","51.857","49.371","44.101","43.775","45.955","48.477","50.152","52","53.392","52.458","52.836","55.457","57.066","57.164","57.242",
"Andorra","AND","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.9074228247026","41.9546844323176","41.7731366809785","41.9159116848853","41.438313936456","41.8020654996177","41.8279260486729","41.6382217560887","41.8819276753739","41.3345627832705","40.8958104902711","40.2910914094024","40.4234769990565","41.0207565571031","41.2634394809737","41.8033917261496","42.2359103783221","42.3105739974622","42.6075537559461","42.9737067449991","42.4398160440235","42.0177845363389","42.0892517563764","42.1025496149423","41.6171144710907","41.711157259951","40.8767887319338","40.5893584944075","40.5200561973545","38.9233578599426","39.2824241459318","40.3698195175861","41.8670054430457","41.8779046449622","41.7836563465771",
"United Arab Emirates","ARE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.432","73.667","74.048","74.42","74.789","74.636","73.918","73.327","72.964","72.831","72.825","72.996","73.28","73.803","74.315","74.934","75.051","74.887","74.35","74.498","74.881","75.256","75.691","76.119","76.599","77.16","76.82","77.339","77.614","75.398","74.661","75.023","76.681","76.789","76.885",
"Argentina","ARG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.707","56.855","55.284","54.716","49.947","51.392","53.474","55.104","53.755","52.968","50.973","48.366","51.661","53.567","54.434","55.567","55.937","55.692","55.526","55.544","56.297","56.005","55.705","55.123","54.744","54.247","53.899","54.101","54.355","49.602","55.085","57.3","58.463","57.439","57.489",
"Armenia","ARM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.672","64.367","61.603","60.227","59.627","57.479","56.088","56.637","55.315","55.238","55.082","54.849","54.636","54.455","54.336","54.305","54.415","50.108","49.952","49.862","50.142","50.772","51.339","50.761","50.3","50.783","50.581","49.697","48.002","50.125","52.364","50.905","52.546","52.485","51.744",
"American Samoa","ASM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.218","56.24","55.787","56.943","58.283","58.233","57.967","58.281","58.582","59.303","59.164","59.459","59.935","60.144","61.26","61.747","62.415","62.783","61.856","62.066","62.184","61.836","61.343","60.849","61.135","61.242","61.599","62.286","62.689","60.87","62.825","64.396","64.565","64.089","63.816",
"Austria","AUT","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.168","54.896","54.759","56.619","56.326","55.309","55.097","55.202","55.823","55.69","55.572","55.843","55.921","54.203","54.764","55.447","56.506","57.153","56.703","56.952","57.131","57.252","57.122","56.758","56.73","57.015","57.292","57.914","58.121","57.224","56.715","57.843","57.649","57.361","56.767",
"Azerbaijan","AZE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.104","71.001","72.117","73.623","74.699","73.986","72.677","70.999","69.607","67.753","66.459","65.205","64.066","62.538","61.711","60.511","57.876","57.259","57.482","57.437","57.873","58.398","58.82","59.68","60.386","61.419","61.787","62.195","61.966","62.356","59.853","61.116","60.716","60.292","59.834",
"Burundi","BDI","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.734","86.208","85.522","84.786","84.192","83.391","82.478","81.559","80.834","80.062","79.277","78.474","77.678","76.826","75.95","74.981","75.809","76.607","76.891","77.156","77.307","77.448","77.59","77.697","78.337","78.843","79.093","79.126","78.909","77.737","78.21","78.385","78.082","77.774","77.533",
"Belgium","BEL","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.757","46.204","45.616","45.384","45.73","45.62","45.969","46.014","47.384","48.802","47.653","47.57","47.319","48.122","48.796","48.73","49.654","49.949","49.282","49.67","49.491","49.306","49.1","49.008","48.842","49.001","49.554","50.48","51.005","50.422","50.671","51.536","51.39","51.429","51.068",
"Benin","BEN","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.979","71.07","71.042","71.031","71.098","71.1","71.164","71.161","71.191","71.212","71.242","71.255","71.228","71.212","71.176","71.17","71.174","71.194","71.169","71.118","69.977","70.518","71.109","71.687","72.132","72.563","73.058","73.642","74.183","73.645","74.681","74.995","75.023","75.022","75.143",
"Burkina Faso","BFA","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.859","81.635","81.505","81.179","81.02","80.891","80.716","80.488","80.189","79.869","79.609","79.303","79.156","78.372","77.734","77.783","77.861","77.477","77.075","76.847","76.538","76.292","75.898","75.506","75.102","74.767","74.479","74.215","74.13","71.738","70.646","69.567","68.631","67.651","67.57",
"Bangladesh","BGD","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.666","55.795","55.897","56.015","56.129","56.242","56.277","56.289","56.283","56.261","56.105","55.899","55.674","55.646","55.65","55.986","55.861","55.705","55.528","56.597","55.941","55.3","54.649","54.308","53.972","53.65","55.778","56.3","56.791","56.459","57.751","59.031","58.845","56.762","56.574",
"Bulgaria","BGR","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.578","42.405","41.724","43.418","44.144","43.263","43.161","43.715","43.108","41.851","41.219","41.731","43.272","44.781","45.075","47.358","49.864","51.785","50.412","48.003","46.633","46.65","46.957","47.801","49.252","49.272","51.99","52.434","54.309","53.063","52.53","54.382","54.438","53.911","54.131",
"Bahrain","BHR","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.708","65.727","65.457","65.048","64.746","64.466","64.408","64.438","64.563","64.799","64.789","64.497","64.257","64.216","65.024","66.04","67.268","68.605","69.948","70.934","70.327","70.727","70.702","70.355","70.528","71.12","71.534","71.214","70.545","68.004","67.873","69.395","69.958","69.804","69.652",
"Bahamas, The","BHS","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.468","61.971","63.886","63.431","65.816","65.504","66.893","68.565","68.784","69.067","69.265","67.636","66.276","66.706","66.647","68.557","68.233","67.941","63.384","63.185","63.09","63.451","61.872","63.669","65.065","64.63","66.891","66.868","67.455","59.901","61.941","67.291","67.722","67.303","66.983",
"Bosnia and Herzegovina","BIH","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.244","44.911","44.065","43.359","42.556","41.912","41.336","40.68","40.077","39.373","38.683","38.034","37.348","36.743","36.067","35.498","36.521","39.35","38.962","37.183","36.868","36.484","36.517","36.288","36.054","37.015","39.266","40.089","41.139","39.936","40.608","42.656","44.155","43.977","43.584",
"Belarus","BLR","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.736","57.308","54.103","51.757","49.086","44.866","48.748","50.398","51.189","52.069","52.881","53.584","54.224","54.829","55.439","56.115","56.816","57.655","58.528","59.024","59.486","59.871","60.146","60.351","60.49","60.62","60.838","61.344","61.575","61.437","61.524","61.754","61.372","61.069","60.626",
