"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","GDP per person employed (constant 2021 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","GDP per person employed (constant 2021 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9563.26192672193","9066.65429461812","8712.45836073918","8596.06546584834","8707.76863152895","8968.74606192614","9102.36534294723","9035.08979935632","9019.94609618096","9035.46602130748","9095.26834309381","9171.4299784445","9168.35112341069","9410.11530072376","9706.75721509624","10090.4426439475","10505.6233486224","10706.7252215564","10587.1938493129","10959.0540215134","11077.3791341253","11197.273175643","11190.9482564389","11443.9630405357","11515.0339287955","11545.8560288542","11638.8747578625","11669.9499070392","11647.7903015347","11247.983770439","11454.8461195939","11414.108847863","11235.9421247888","11293.0166168289","",
"Afghanistan","AFG","GDP per person employed (constant 2021 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7548.71678163597","6815.20536174976","8321.85652905659","8516.673357151","8317.10025498383","8911.52928371096","8972.00033241794","9950.45147219382","10041.75092247","11642.2789865582","12807.8232930622","12278.9092819703","13171.5544233137","13315.675411887","13059.3295876974","12870.5695458653","12858.0910458783","12864.5667033688","13031.1958220999","13572.9111378508","13526.9396374728","10677.6454225309","10863.2517874778","10810.3819482136","","",
"Africa Western and Central","AFW","GDP per person employed (constant 2021 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10353.3006014678","10277.5045801007","9836.77942961903","9497.00247338511","9376.79457104618","9532.30671852981","9651.54940874639","9707.93065655535","9591.27498852352","9699.6573207627","9935.12956156545","10643.8969928312","10957.136807581","11519.6460412433","11879.6102846351","12183.1839063441","12519.1767834135","12975.3314018145","13446.0693875642","14043.4758384243","14363.053842454","14716.0859830277","15198.4635518406","15728.5203920765","15830.4992875623","15397.9134413649","15384.2019522218","15415.550727742","15500.8627751521","14785.6816560962","14572.907844323","14466.0484029927","14375.2257913266","14577.3250974434","",
"Angola","AGO","GDP per person employed (constant 2021 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23258.6284150496","21286.3247889301","15800.4432451071","15533.8540610235","17196.8662543529","18697.2347271545","19350.6751446083","19625.0532523154","19440.8929752863","19381.0003356632","19506.6252371492","21337.7219032338","21296.0208617239","22823.8212524552","25090.6112477893","26971.965073792","29327.0526844052","31316.1148423527","30841.7545102657","31335.0762488799","31271.4137704345","32673.4743901042","33078.2969166449","33462.6090359987","32713.472952979","31187.4718656878","30171.6575044905","29053.3348953266","28059.9533940627","26682.7933954204","25015.8558860116","25072.6000048665","24631.96462192","24845.8137735601","",
"Albania","ALB","GDP per person employed (constant 2021 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9726.86742612318","11419.7987587546","11999.8930468375","12533.5717656521","13580.5797501153","14787.6441382027","13232.6601107512","15207.1268727375","17708.9190700839","18881.5985786744","20816.125332916","21624.5504187424","22770.4881539422","24049.9211338032","25501.946575675","27314.3610131915","29682.3738111581","31196.9651331726","31080.7444002314","31852.9630918976","29637.9831420001","31671.5281704649","36395.0177598789","37877.8998794272","37276.7516150476","37112.3083435748","37478.0764075609","37926.8954640283","38164.7731185576","38038.3076503402","41715.4655748964","42236.108505182","43262.9272668809","45524.5454675641","",
"Andorra","AND","GDP per person employed (constant 2021 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per person employed (constant 2021 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47471.3566596094","48888.7704578665","49035.9604562203","48510.8042027379","48933.8038686914","49378.5798887187","50381.7975188894","51712.5792247296","51336.2562874798","53473.0771875335","53525.8674080677","53276.9862602279","53175.7118200589","55289.9593661375","56101.1182193248","56820.6202929084","56928.2462408937","58225.6941762119","56864.2593188886","57775.7674505528","59581.5655757565","61001.6865903321","60566.397580522","60781.5148784253","61772.3685715406","62455.2050458368","63517.4791483736","64708.3742623946","64961.9526787195","63326.3693231803","64239.173050124","65050.1541882177","70384.0333998409","70453.4575466356","",
"United Arab Emirates","ARE","GDP per person employed (constant 2021 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203362.446937949","196745.171095967","186763.68560767","187760.303593904","188717.562444911","185610.073947131","184687.83912633","170503.744524542","161688.606238841","165450.18938688","155357.31955556","147785.713217101","149965.438028601","153624.178692807","151251.65968962","152915.298543188","139943.93992574","128950.175432666","115659.000157907","114511.50168321","117506.117718928","117618.476010261","117923.953795903","117135.13625747","118101.844152147","117888.589538888","113429.303479906","112814.714143888","112569.205841427","106218.555323403","110017.470442334","111830.239841343","109489.506893755","108203.155306846","",
"Argentina","ARG","GDP per person employed (constant 2021 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46257.9327425384","48964.2425148305","53578.2758730771","56342.6298445891","58986.5631454268","59535.7181778436","60898.2739160256","60451.118088869","58999.3864674556","58560.1529462859","57358.6164893946","53119.3070799212","53386.931436742","55372.0006494235","58492.0948828661","61047.783669524","65213.8451434454","67241.6105325519","62578.8318819811","67965.7783189913","70153.5331640959","68916.9082638847","70098.6605034767","68225.6445237006","69721.4339259464","68105.4026359412","69702.6851895696","66888.049287424","64545.6690918665","63088.8422580423","62199.2099349718","62861.7846363111","59860.6086847392","59453.738230398","",
